"","vig_doses","vig_dose_share","vig_countries","vig_benefit_economic","vig_benefit_health","vignr"
"1",0,0,0,0,0,1
"2",0,0,0,0,1,2
"3",0,0,0,1,0,3
"4",0,0,0,1,1,4
"5",0,0,1,0,0,5
"6",0,0,1,0,1,6
"7",0,0,1,1,0,7
"8",0,0,1,1,1,8
"9",0,0,2,0,0,9
"10",0,0,2,0,1,10
"11",0,0,2,1,0,11
"12",0,0,2,1,1,12
"13",0,1,0,0,0,13
"14",0,1,0,0,1,14
"15",0,1,0,1,0,15
"16",0,1,0,1,1,16
"17",0,1,1,0,0,17
"18",0,1,1,0,1,18
"19",0,1,1,1,0,19
"20",0,1,1,1,1,20
"21",0,1,2,0,0,21
"22",0,1,2,0,1,22
"23",0,1,2,1,0,23
"24",0,1,2,1,1,24
"25",0,2,0,0,0,25
"26",0,2,0,0,1,26
"27",0,2,0,1,0,27
"28",0,2,0,1,1,28
"29",0,2,1,0,0,29
"30",0,2,1,0,1,30
"31",0,2,1,1,0,31
"32",0,2,1,1,1,32
"33",0,2,2,0,0,33
"34",0,2,2,0,1,34
"35",0,2,2,1,0,35
"36",0,2,2,1,1,36
"37",0,3,0,0,0,37
"38",0,3,0,0,1,38
"39",0,3,0,1,0,39
"40",0,3,0,1,1,40
"41",0,3,1,0,0,41
"42",0,3,1,0,1,42
"43",0,3,1,1,0,43
"44",0,3,1,1,1,44
"45",0,3,2,0,0,45
"46",0,3,2,0,1,46
"47",0,3,2,1,0,47
"48",0,3,2,1,1,48
"49",1,0,0,0,0,49
"50",1,0,0,0,1,50
"51",1,0,0,1,0,51
"52",1,0,0,1,1,52
"53",1,0,1,0,0,53
"54",1,0,1,0,1,54
"55",1,0,1,1,0,55
"56",1,0,1,1,1,56
"57",1,0,2,0,0,57
"58",1,0,2,0,1,58
"59",1,0,2,1,0,59
"60",1,0,2,1,1,60
"61",1,1,0,0,0,61
"62",1,1,0,0,1,62
"63",1,1,0,1,0,63
"64",1,1,0,1,1,64
"65",1,1,1,0,0,65
"66",1,1,1,0,1,66
"67",1,1,1,1,0,67
"68",1,1,1,1,1,68
"69",1,1,2,0,0,69
"70",1,1,2,0,1,70
"71",1,1,2,1,0,71
"72",1,1,2,1,1,72
"73",1,2,0,0,0,73
"74",1,2,0,0,1,74
"75",1,2,0,1,0,75
"76",1,2,0,1,1,76
"77",1,2,1,0,0,77
"78",1,2,1,0,1,78
"79",1,2,1,1,0,79
"80",1,2,1,1,1,80
"81",1,2,2,0,0,81
"82",1,2,2,0,1,82
"83",1,2,2,1,0,83
"84",1,2,2,1,1,84
"85",1,3,0,0,0,85
"86",1,3,0,0,1,86
"87",1,3,0,1,0,87
"88",1,3,0,1,1,88
"89",1,3,1,0,0,89
"90",1,3,1,0,1,90
"91",1,3,1,1,0,91
"92",1,3,1,1,1,92
"93",1,3,2,0,0,93
"94",1,3,2,0,1,94
"95",1,3,2,1,0,95
"96",1,3,2,1,1,96
"97",2,0,0,0,0,97
"98",2,0,0,0,1,98
"99",2,0,0,1,0,99
"100",2,0,0,1,1,100
"101",2,0,1,0,0,101
"102",2,0,1,0,1,102
"103",2,0,1,1,0,103
"104",2,0,1,1,1,104
"105",2,0,2,0,0,105
"106",2,0,2,0,1,106
"107",2,0,2,1,0,107
"108",2,0,2,1,1,108
"109",2,1,0,0,0,109
"110",2,1,0,0,1,110
"111",2,1,0,1,0,111
"112",2,1,0,1,1,112
"113",2,1,1,0,0,113
"114",2,1,1,0,1,114
"115",2,1,1,1,0,115
"116",2,1,1,1,1,116
"117",2,1,2,0,0,117
"118",2,1,2,0,1,118
"119",2,1,2,1,0,119
"120",2,1,2,1,1,120
"121",2,2,0,0,0,121
"122",2,2,0,0,1,122
"123",2,2,0,1,0,123
"124",2,2,0,1,1,124
"125",2,2,1,0,0,125
"126",2,2,1,0,1,126
"127",2,2,1,1,0,127
"128",2,2,1,1,1,128
"129",2,2,2,0,0,129
"130",2,2,2,0,1,130
"131",2,2,2,1,0,131
"132",2,2,2,1,1,132
"133",2,3,0,0,0,133
"134",2,3,0,0,1,134
"135",2,3,0,1,0,135
"136",2,3,0,1,1,136
"137",2,3,1,0,0,137
"138",2,3,1,0,1,138
"139",2,3,1,1,0,139
"140",2,3,1,1,1,140
"141",2,3,2,0,0,141
"142",2,3,2,0,1,142
"143",2,3,2,1,0,143
"144",2,3,2,1,1,144
"145",3,0,0,0,0,145
"146",3,0,0,0,1,146
"147",3,0,0,1,0,147
"148",3,0,0,1,1,148
"149",3,0,1,0,0,149
"150",3,0,1,0,1,150
"151",3,0,1,1,0,151
"152",3,0,1,1,1,152
"153",3,0,2,0,0,153
"154",3,0,2,0,1,154
"155",3,0,2,1,0,155
"156",3,0,2,1,1,156
"157",3,1,0,0,0,157
"158",3,1,0,0,1,158
"159",3,1,0,1,0,159
"160",3,1,0,1,1,160
"161",3,1,1,0,0,161
"162",3,1,1,0,1,162
"163",3,1,1,1,0,163
"164",3,1,1,1,1,164
"165",3,1,2,0,0,165
"166",3,1,2,0,1,166
"167",3,1,2,1,0,167
"168",3,1,2,1,1,168
"169",3,2,0,0,0,169
"170",3,2,0,0,1,170
"171",3,2,0,1,0,171
"172",3,2,0,1,1,172
"173",3,2,1,0,0,173
"174",3,2,1,0,1,174
"175",3,2,1,1,0,175
"176",3,2,1,1,1,176
"177",3,2,2,0,0,177
"178",3,2,2,0,1,178
"179",3,2,2,1,0,179
"180",3,2,2,1,1,180
"181",3,3,0,0,0,181
"182",3,3,0,0,1,182
"183",3,3,0,1,0,183
"184",3,3,0,1,1,184
"185",3,3,1,0,0,185
"186",3,3,1,0,1,186
"187",3,3,1,1,0,187
"188",3,3,1,1,1,188
"189",3,3,2,0,0,189
"190",3,3,2,0,1,190
