"","ID","solidarity_behaviour","solidarity_attitude","treatment_video","c_0031_w1","c_0031_w2","c_0031_w3","c_0032_w1","c_0032_w2","vignette3","vignette4","vignette5","vignette6","vignette1","vignette2","vignette3_w4","vignette4_w4","conjoint_choice1_exp3","conjoint_rating1_exp3","conjoint_rating2_exp3","conjoint_choice2_exp3","conjoint_rating3_exp3","conjoint_rating4_exp3","conjoint_choice3_exp3","conjoint_rating5_exp3","conjoint_rating6_exp3","conjoint_choice1_exp7","conjoint_rating1_exp7","conjoint_rating2_exp7","conjoint_choice2_exp7","conjoint_rating3_exp7","conjoint_rating4_exp7"
"1",5287227838065,0.4,1,1,NA,26,NA,NA,20,57,23,78,142,NA,NA,NA,NA,1,10,6,1,10,5,2,8,10,NA,NA,NA,NA,NA,NA
"2",5287263332085,0.8,1,1,NA,30,NA,NA,2,103,135,174,77,NA,NA,NA,NA,2,0,10,2,0,10,2,0,10,NA,NA,NA,NA,NA,NA
"3",5287383368325,0.2,0,0,NA,191,NA,NA,124,140,9,82,40,NA,NA,NA,NA,2,0,10,2,0,10,2,0,10,NA,NA,NA,NA,NA,NA
"4",5287415025510,0.4,0,0,NA,155,NA,NA,160,54,169,56,30,NA,NA,NA,NA,2,3,8,1,8,4,1,7,3,NA,NA,NA,NA,NA,NA
"5",5287442674455,0,0,1,NA,79,NA,NA,185,183,60,159,144,NA,NA,NA,NA,1,3,0,2,0,3,2,0,2,NA,NA,NA,NA,NA,NA
"6",5287445285085,0.4,1,0,NA,12,NA,NA,89,38,62,135,72,NA,NA,NA,NA,1,6,4,1,5,5,2,4,7,NA,NA,NA,NA,NA,NA
"7",5287454527770,0.4,0,1,NA,149,NA,NA,38,174,72,89,45,NA,NA,NA,NA,1,4,3,2,4,5,1,7,6,NA,NA,NA,NA,NA,NA
"8",5287467791880,0.4,0,1,NA,84,NA,NA,144,115,65,110,108,NA,NA,NA,NA,1,10,8,2,8,10,2,8,10,NA,NA,NA,NA,NA,NA
"9",5287475689695,0.4,0,1,NA,66,NA,NA,192,14,8,183,157,NA,NA,NA,NA,1,10,0,2,0,10,1,10,0,NA,NA,NA,NA,NA,NA
"10",5287495467195,1,0,0,NA,104,NA,NA,62,50,44,120,150,NA,NA,NA,NA,2,4,7,1,7,4,2,3,7,NA,NA,NA,NA,NA,NA
"11",5287563936900,0,0,1,NA,40,NA,NA,86,55,80,140,99,NA,NA,NA,NA,2,3,8,1,7,3,2,4,6,NA,NA,NA,NA,NA,NA
"12",5287575922065,0,0,0,NA,123,NA,NA,103,160,43,106,155,NA,NA,NA,NA,2,0,0,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"13",5287686596955,1,0,1,NA,12,NA,NA,170,102,75,140,64,NA,NA,NA,NA,1,10,0,2,3,6,2,2,8,NA,NA,NA,NA,NA,NA
"14",5287702405770,0,0,1,NA,161,NA,NA,74,107,141,7,66,NA,NA,NA,NA,1,7,5,2,4,7,1,7,5,NA,NA,NA,NA,NA,NA
"15",5287788147825,0,0,0,NA,180,NA,NA,144,20,14,91,126,NA,NA,NA,NA,2,2,4,1,6,2,2,3,3,NA,NA,NA,NA,NA,NA
